Date,Description,Amount,Category
2026-01-02,Woolworths Food,-1250.00,Groceries
2026-01-02,Netflix Subscription,-199.00,Entertainment
2026-01-03,Salary Deposit,25000.00,Income
2026-01-05,Engen Fuel,-850.50,Transport
2026-01-05,Uber Eats,-185.00,Dining
2026-01-07,Pick n Pay,-643.20,Groceries
2026-01-08,Planet Fitness Debit Order,-399.00,Health
2026-01-10,Vodacom Airtime,-299.00,Utilities
2026-01-10,Spotify Premium,-89.99,Entertainment
2026-01-12,Landlord Transfer,-8500.00,Rent
2026-01-14,Checkers Hyper,-920.30,Groceries
2026-01-15,Freelance Payment,5000.00,Income
2026-01-15,Discovery Medical Aid,-2100.00,Medical
2026-01-17,Shell Garage,-780.00,Transport
2026-01-18,Mr Price Clothing,-450.00,Clothing
2026-01-19,Takealot Online,-1299.99,Shopping
2026-01-20,City Power Prepaid,-780.00,Utilities
2026-01-22,Woolworths Food,-876.40,Groceries
2026-01-23,Nandos Restaurant,-265.00,Dining
2026-01-25,Car Insurance Debit Order,-1350.00,Insurance
2026-01-25,Savings Transfer,-2000.00,Savings
2026-01-27,Pick n Pay,-512.60,Groceries
2026-01-28,MTN Data Bundle,-199.00,Utilities
2026-01-30,Interest Received,45.20,Income
2026-01-31,Bank Service Fee,-69.00,Fees
